# lon,lat,eastings (GDA94 MGA55),northings (GDA94 MGA55),mean (mm/yr),std (mm/yr)
149.94,-31.64,778833.6784,6495711.6502,9.18,2.38
150.01,-32.02,784306.5264,6453385.5959,6.25,1.19
150.24,-32.13,805674.0014,6440555.0593,3.98,0.71
150.87,-29.19,876397.4410,6764758.0842,6.95,0.84
149.57,-31.85,743181.0064,6473311.2592,4.87,1.28
150.01,-29.94,790549.5603,6684051.8477,6.99,1.32
148.66,-32.06,656703.3234,6451708.5669,3.70,0.50
148.64,-32.07,654798.2524,6450628.8030,3.83,0.56
149.76,-31.87,761108.9217,6470651.5668,4.65,0.90
150.22,-32.24,803420.6152,6428410.3018,3.64,0.59
150.36,-34.46,808670.2814,6181713.5662,6.50,2.97
150.62,-29.04,852576.8176,6782171.4711,11.06,3.04
149.87,-29.95,777002.0289,6683289.6202,4.64,0.75
150.45,-32.11,825567.4752,6442157.5247,4.86,1.41
151.23,-33.32,893859.2410,6305241.7473,177.36,20.11
150.52,-34.51,823182.1785,6175665.2725,34.05,11.46
151.30,-33.42,899922.8040,6293875.4566,184.35,26.55
151.16,-33.29,887469.8418,6308834.0146,167.32,21.91
150.15,-34.55,789059.8177,6172349.3269,15.75,3.94
150.47,-34.64,818093.1069,6161399.2149,103.75,18.54
151.29,-33.26,899724.2304,6311672.3589,206.37,29.47
151.21,-33.21,892488.6202,6317525.6132,142.75,18.81
151.22,-33.22,893376.7152,6316378.1035,152.08,19.63
151.24,-33.29,894926.5733,6308533.4507,173.16,19.37
150.58,-34.53,828614.8421,6173252.2487,236.91,51.69
151.27,-33.39,897267.4677,6297320.3683,166.66,16.00
150.59,-34.56,829414.7569,6169890.6502,224.38,87.71
151.23,-33.22,894309.5678,6316340.3481,151.66,19.50
151.17,-33.33,888224.1661,6304357.4414,173.92,20.43
151.29,-33.35,899312.7694,6301683.2825,191.46,19.57
151.20,-33.35,890929.5431,6302025.3696,191.38,21.79
151.21,-33.22,892443.8674,6316415.7690,154.04,19.46
151.29,-33.39,899129.5813,6297243.6726,175.35,17.13
151.20,-33.31,891108.6750,6306464.7614,144.01,19.07
